None|5484|18.36
None|6070|25.71
None|5442|24.03
None|3528|26.85
None|8280|25.86
None|3005|22.46
None|6432|26.10
None|8131|24.18
None|4198|24.41
None|7105|25.19
5484|5484|18.75
5484|6070|25.92
5484|5442|24.75
5484|3528|26.72
5484|8280|26.11
5484|3005|21.99
5484|6432|26.34
5484|8131|24.49
5484|4198|25.14
5484|7105|25.37
6070|5484|18.49
6070|6070|25.64
6070|5442|23.97
6070|3528|27.22
6070|8280|26.19
6070|3005|22.04
6070|6432|25.96
6070|8131|24.66
6070|4198|26.04
6070|7105|25.37
5442|5484|19.78
5442|6070|27.08
5442|5442|29.68
5442|3528|29.36
5442|8280|26.68
5442|3005|22.56
5442|6432|27.34
5442|8131|24.61
5442|4198|27.07
5442|7105|26.37
3528|5484|18.94
3528|6070|25.68
3528|5442|25.74
3528|3528|27.14
3528|8280|26.44
3528|3005|22.17
3528|6432|26.61
3528|8131|24.71
3528|4198|25.86
3528|7105|25.25
8280|5484|19.04
8280|6070|25.92
8280|5442|25.02
8280|3528|27.43
8280|8280|27.09
8280|3005|22.97
8280|6432|26.56
8280|8131|24.23
8280|4198|25.92
8280|7105|25.72
3005|5484|18.33
3005|6070|26.03
3005|5442|25.34
3005|3528|27.06
3005|8280|26.35
3005|3005|22.87
3005|6432|26.31
3005|8131|24.23
3005|4198|25.56
3005|7105|25.54
6432|5484|18.65
6432|6070|25.99
6432|5442|25.08
6432|3528|26.93
6432|8280|25.86
6432|3005|22.46
6432|6432|26.39
6432|8131|24.94
6432|4198|25.26
6432|7105|25.07
8131|5484|18.91
8131|6070|26.13
8131|5442|24.82
8131|3528|27.10
8131|8280|26.19
8131|3005|22.30
8131|6432|26.53
8131|8131|24.46
8131|4198|25.98
8131|7105|24.72
4198|5484|18.65
4198|6070|25.78
4198|5442|24.89
4198|3528|26.68
4198|8280|26.19
4198|3005|21.76
4198|6432|26.74
4198|8131|24.59
4198|4198|25.62
4198|7105|24.49
7105|5484|18.91
7105|6070|25.99
7105|5442|25.08
7105|3528|26.80
7105|8280|26.19
7105|3005|22.17
7105|6432|26.10
7105|8131|24.56
7105|4198|25.56
7105|7105|25.31
