None|3005|22.56
None|6432|27.34
None|8131|24.89
None|4198|26.83
None|7105|27.54
None|5484|19.07
None|6070|28.59
None|5442|31.06
None|3528|29.45
None|8280|27.09
3005|3005|23.82
3005|6432|27.71
3005|8131|25.35
3005|4198|26.89
3005|7105|28.60
3005|5484|19.20
3005|6070|30.31
3005|5442|33.88
3005|3528|30.79
3005|8280|27.91
6432|3005|23.59
6432|6432|28.68
6432|8131|25.20
6432|4198|27.61
6432|7105|29.65
6432|5484|19.72
6432|6070|31.71
6432|5442|37.23
6432|3528|32.01
6432|8280|28.16
8131|3005|26.40
8131|6432|32.29
8131|8131|27.56
8131|4198|30.21
8131|7105|31.06
8131|5484|20.75
8131|6070|36.16
8131|5442|41.63
8131|3528|37.16
8131|8280|29.56
4198|3005|99.25
4198|6432|100.00
4198|8131|84.34
4198|4198|99.88
4198|7105|98.71
4198|5484|93.03
4198|6070|99.93
4198|5442|99.80
4198|3528|96.18
4198|8280|98.36
7105|3005|23.90
7105|6432|27.85
7105|8131|25.12
7105|4198|26.22
7105|7105|27.25
7105|5484|19.52
7105|6070|31.08
7105|5442|36.77
7105|3528|31.50
7105|8280|28.00
5484|3005|23.00
5484|6432|28.20
5484|8131|25.55
5484|4198|26.71
5484|7105|28.60
5484|5484|19.33
5484|6070|29.11
5484|5442|32.57
5484|3528|30.29
5484|8280|28.08
6070|3005|23.64
6070|6432|28.52
6070|8131|25.48
6070|4198|28.10
6070|7105|27.83
6070|5484|19.65
6070|6070|29.67
6070|5442|35.65
6070|3528|31.59
6070|8280|29.31
5442|3005|23.72
5442|6432|27.82
5442|8131|24.84
5442|4198|27.49
5442|7105|29.89
5442|5484|20.17
5442|6070|31.85
5442|5442|35.85
5442|3528|30.83
5442|8280|30.13
3528|3005|25.96
3528|6432|31.83
3528|8131|25.17
3528|4198|31.00
3528|7105|37.11
3528|5484|24.46
3528|6070|49.21
3528|5442|53.64
3528|3528|39.30
3528|8280|31.36
8280|3005|25.73
8280|6432|30.51
8280|8131|25.93
8280|4198|30.15
8280|7105|33.35
8280|5484|24.20
8280|6070|37.18
8280|5442|45.04
8280|3528|41.28
8280|8280|32.02
